uid,glb_sha256,make,model,reviewed_at,year_start,year_end,body_style,trim
20f0190e34da4ac4a984c7f7a757efba,af75ac35207e4ef119e43b1b6b7e8727b7d68b22f99f0d7ebedbc3776dbf9a30,toyota,avensis,2026-08-08,2009,,saloon,
cc503d26ea694dce85e7d0f1491b0e30,57729c83d60c7c1620469ec4a127471b3f76b2192a994eb9370dede8696fda05,toyota,corolla-cross,2026-08-08,,,suv,
1b6dd834e8184851887ddeab1e83bc28,d53600f3b3187c3b660e3e32d1899ace693d636dc3da0a6fd40a167b4d6cd38c,toyota,yaris-cross,2026-08-08,2020,,suv,
98e6611ad034451982b6a9908c63fc47,0a6c26d060f14d12335bb71630d9400a782463cfcd6ecb50ec97c75848142fdb,toyota,gr-yaris,2026-08-08,2021,,hatchback,
