uid,licence
47a5c168f6c344d59003254eca848c7b,Free Standard
299852c2ebde4209a4007dbf2e2165e3,CC Attribution
5fb13d2daeb5480e8be44e475e2acf59,Free Standard
34632915878c410fa1f5cbc8c820e4ba,Free Standard
1fb715de748843628f24bd3914f633d6,CC Attribution-NonCommercial
2c3f734019684e709b6e5bfd40d363ea,CC Attribution
2d44c05d36424ceb96e6da7451df782d,CC Attribution
d90d42c494104fcdb174c4f28a523562,Free Standard
