uid,licence,source_title,source_creator,source_url
23aea45df6da44fab8785df6c3b09ecd,Free Standard,BMW M235i Gran Coupé,KOElkast1007,https://sketchfab.com/3d-models/23aea45df6da44fab8785df6c3b09ecd
be22631374fd4cf086be3a6271cb6838,CC Attribution,BMW 2002ti,Kemal Çolak,https://sketchfab.com/3d-models/be22631374fd4cf086be3a6271cb6838
0360b93a5d504c97adcfd52296ef88c9,CC Attribution-NonCommercial-ShareAlike,2019 BMW 330i M Sport,Ddiaz Design,https://sketchfab.com/3d-models/0360b93a5d504c97adcfd52296ef88c9
531a5a93da5d493d9918eb36f011c20d,CC Attribution,BMW E39 Free,Black Snow,https://sketchfab.com/3d-models/531a5a93da5d493d9918eb36f011c20d
3f1f1468017045bd88368a9c5c6ac8ee,CC Attribution,2024 BMW M5,tonielpro520,https://sketchfab.com/3d-models/3f1f1468017045bd88368a9c5c6ac8ee
8dde42e86c884153a9c1aee3397546bb,CC Attribution,Bmw M5 E60,🇷🇴シRuletăシ🇷🇴,https://sketchfab.com/3d-models/8dde42e86c884153a9c1aee3397546bb
1dfdb422f05d44b287e332bec4311c50,CC Attribution,BMW X5 E53 RESTYLING | High Quality,takeover,https://sketchfab.com/3d-models/1dfdb422f05d44b287e332bec4311c50
72a7165bfb8c455e9dd8206e40e3347a,CC Attribution,BMW M8 2020,ItsDiyor,https://sketchfab.com/3d-models/72a7165bfb8c455e9dd8206e40e3347a
e46a9b7a35ad4dafb4add3efd16ed840,CC Attribution,BMW M6 E64 (finished),obviously.csmx,https://sketchfab.com/3d-models/e46a9b7a35ad4dafb4add3efd16ed840
f0ac8fa9bf1e4d79a03a4a3ea6d24afa,Free Standard,AC - Bmw 1m [FREE],David & 3D,https://sketchfab.com/3d-models/f0ac8fa9bf1e4d79a03a4a3ea6d24afa
6d51b027dba044a4aa6c93d11228f03f,CC Attribution-NonCommercial-ShareAlike,2020 BMW M850i Gran Coupe,Ddiaz Design,https://sketchfab.com/3d-models/6d51b027dba044a4aa6c93d11228f03f
86ee7c1a83334576933ab431542269d5,CC Attribution-NonCommercial-ShareAlike,1973 BMW 3.0 CSL RHD (E9),Ddiaz Design,https://sketchfab.com/3d-models/86ee7c1a83334576933ab431542269d5
2f758a606f004d7e8932e2845c7e9056,CC Attribution-NonCommercial-ShareAlike,2018 BMW M4 Convertible (F83),Ddiaz Design,https://sketchfab.com/3d-models/2f758a606f004d7e8932e2845c7e9056
