uid,glb_sha256,make,model,reviewed_at,year_start,year_end,body_style,trim
0dc3767a30a04e4289db3a25765916bc,f06da1151e1ff85158f699b63369888716e65260ce8de7837db2813b873d33a4,seat,exeo,2026-08-08,2009,2011,saloon,
a510cd5c400c4b8bb8acaa885e3ae1de,dc2080fff4d7b12efe8a1bd3daa9b0f495e63d161b5c525787ca803b73467844,seat,exeo,2026-08-08,2009,2011,estate,ST
6105cb509559467f9d4068447c44b650,1077b8719c6f4575413dc7a08399d28ef062d142720b209d07eaf0ac63af9be2,seat,toledo,2026-08-08,1999,2004,saloon,
fcb5b025fd684177a174cc2cc75743c9,4c36d74aa9df4105ce89dc9021eb00099660b0bc090b7a5848df162f15c39d69,seat,toledo,2026-08-08,2004,2009,,
274ee5765ebf4823be5482b305a42c40,8447d9468f5d25d86bc9b26000f26e14e75a77f23a18d324e959c191df119d6d,seat,alhambra,2026-08-08,2010,2015,mpv,
781e4af2de7943c38c2ad3cbe7faa2ae,cb6468f03295adfc22e59452d77b8886aef540e16d145c2e3c254b1aeb0d69c6,seat,alhambra,2026-08-08,2015,2022,mpv,
