uid,licence
56d2057fc0a442db9a972fb61ed7ca70,CC Attribution
43804e0f962c4021b988e6ebcd45e7a0,CC Attribution-NonCommercial-ShareAlike
898ba0d4de914565b7340ee1d1a77ffe,CC Attribution
51970ac7a4f346b998941c77bea0103f,CC Attribution-NonCommercial-ShareAlike
a008dc4938ce4fc393240864309cca91,CC Attribution-NonCommercial-ShareAlike
e6b69aa7329347f4bcd431d13b7dc915,CC Attribution-NonCommercial-ShareAlike
02e3ca1e9a8f4c7aad40617bd0693615,CC Attribution-NonCommercial-ShareAlike
93f32e8306b440f49d26544b9c20a45e,CC Attribution-NonCommercial-ShareAlike
a717286d832d4e44b792da4d87cf1d3b,CC Attribution-NonCommercial-ShareAlike
