uid,glb_sha256,make,model,reviewed_at,year_start,year_end,body_style,trim
47a5c168f6c344d59003254eca848c7b,0fe61f3fd67549e30656907e7b8be55fee23209b806c29f280509677b94415a5,volvo,V60,2026-08-11,,,,
299852c2ebde4209a4007dbf2e2165e3,ffdb2c020c4666cde02c449db4407f4eaea56d3ef9cf420bb1ea029df6a81e18,volvo,V40,2026-08-11,2018,,,
5fb13d2daeb5480e8be44e475e2acf59,905fc16e08c4619dd406781f18b72056ba607d4fa452c8ceb5470fa4c67e1a15,volvo,C30,2026-08-11,,,,R-Design
34632915878c410fa1f5cbc8c820e4ba,66bd1ca4a7ab7c8759bc0134c164c30f03cb22115d69882201dce0cb3068917e,volvo,V50,2026-08-11,,,,
1fb715de748843628f24bd3914f633d6,16a78c3e2b219912d8ab9ba4540607c57ccd0cd1fcb58566cbe1f598b4644501,volvo,C70,2026-08-11,2000,,,
2c3f734019684e709b6e5bfd40d363ea,268c8add063d9176164e7613c0c31622c23030b54e30fbae4109012c99e563c6,volvo,PV4,2026-08-11,,,,
2d44c05d36424ceb96e6da7451df782d,bd3a22839fd883f16abc58ce2780e1bc9988ab29730333272844648e6a5fa1af,volvo,740,2026-08-11,,,,
d90d42c494104fcdb174c4f28a523562,9cef772a1356fbc1a3204bd035f3a597a0de5e4d1284f7a500929be98c732c8e,volvo,240,2026-08-11,,,,
