uid,glb_sha256,make,model,reviewed_at,year_start,year_end,body_style,trim
e8f2ad3dceb24e65b6b3b5b4259305eb,020bc52819a43644bcb6e6d95468b58b6b1a93589515fb45e682f497e5be9e20,chrysler,PT Cruiser,2026-08-11,2005,,,GT
3ae081b90cce4d199d4e886a1b15d3a5,d8de7db44402422eed0b9181d6eee90503d93a65354140dcbe14c9a057737192,chrysler,300C,2026-08-11,,,,SRT8
890cbc5470e344aaaff29dc2d6d8fdeb,2fb099299d6fa66ec826cf87da9e0e2e91b59812f07f66a178c8444bf0e53277,chrysler,Pacifica,2026-08-11,2021,,,Limited S AWD
99ec73d456f245c9ae28b3384127f750,d1517191896440b8e5cd0849c701b6e72a4cd3ab331091fc9493b5867ce8fd03,chrysler,Pacifica,2026-08-11,2008,,,
