uid,glb_sha256,make,model,reviewed_at,year_start,year_end,body_style
23aea45df6da44fab8785df6c3b09ecd,9163b97c9e0f8cc2faf3369cbac8634a2d60d5c7c8bef78ac99d9eec171d473d,bmw,m235i,2026-08-06,,,saloon
be22631374fd4cf086be3a6271cb6838,5b563599951978174aaee3d914ad4391f196d9e0216baef16b437bfc9f2b0907,bmw,2002ti,2026-08-06,,,
0360b93a5d504c97adcfd52296ef88c9,f1feaae233bc7327a817db49c585418493dae9e450c666cb23a8649475f5b025,bmw,330i,2026-08-06,2019,,saloon
531a5a93da5d493d9918eb36f011c20d,a2c59e46ff046246cd57a50b2f220597dbe388e8cc14e6e38cb0fd28dcf9d428,bmw,5 series,2026-08-06,1995,2003,saloon
3f1f1468017045bd88368a9c5c6ac8ee,bfb8defa31fcdfe4ba30a147fc434c530cda54886a63164c73e9156b31e3811b,bmw,m5,2026-08-06,2024,,saloon
8dde42e86c884153a9c1aee3397546bb,3ff97cd0d94d686cdc8bc5e93764a92946b74f009df3173a64bd46f5ea440e20,bmw,m5,2026-08-06,2003,2010,saloon
1dfdb422f05d44b287e332bec4311c50,55d57fa7a472831abb770909e33c0cd4ddaa7b600c5ff26acb58377c531bf5a8,bmw,x5,2026-08-06,1999,2006,suv
72a7165bfb8c455e9dd8206e40e3347a,994c31d46c2a84d7f6f87ba7d07619d4b6ac5bfce8fd773b6eb57dd0cd582095,bmw,8 series,2026-08-06,2020,,convertible
e46a9b7a35ad4dafb4add3efd16ed840,4c8071246dcd28752e5c4f7b551ee0b8b2284699cd5e56f3bb63a1cc01954ca8,bmw,m6,2026-08-06,2004,2010,convertible
f0ac8fa9bf1e4d79a03a4a3ea6d24afa,dfdc88d7468b0b14ce6216ee6c6fb704beeff57cd0cc3336a66a33e81cfd3355,bmw,1m,2026-08-06,,,coupe
6d51b027dba044a4aa6c93d11228f03f,4a46f4705178a372498a83832b5a291fe5622e5b8e073435843dfb5d283e074a,bmw,m850i,2026-08-06,2020,,saloon
86ee7c1a83334576933ab431542269d5,dc51a2b8b0a60816769ca29b30be741926fdedf4fe7cfde63c620532107be80f,bmw,3.0 csl,2026-08-06,1973,,coupe
2f758a606f004d7e8932e2845c7e9056,e815e532efc1e3e8e8b35fd3eff5725a6b96870cbf1126cda87570f1180c3aae,bmw,m4,2026-08-06,2018,,convertible
