uid,glb_sha256,make,model,reviewed_at,year_start,year_end,body_style
edf47a66f69bbe3a,943b19668406725ba3306d99624a4c613df2697c9b072bd0352bde14aa62f0d1,jaguar,xj,2026-08-08,1994,1997,saloon
d790a5ad024d6aef,99b77f8725632a0d893c77b57c8a658a5137c9e4dd98579977a3b2365b13d968,jaguar,xj,2026-08-08,2003,2009,saloon
cf1428175cbdd041,553f1cdc69e45f639631a4db730171c5d3c7d67f31a749b086c919940473f34b,jaguar,xkr,2026-08-08,2009,2014,coupe
48ee8889ff5c4a5c,5f96796a8e0154cb0e90a576d36f1d1d38e70cb98ed745541cb5f3a71dfb731c,jaguar,xj220,2026-08-08,1992,1994,coupe
80d991619044705c,30be274ad0fbc677da7d7b82bd6bb316492c5fd1d21682af35d08d36c12badac,audi,quattro,2026-08-08,1980,1991,coupe
cfb5a58f16255a05,56c66d47066b65c71f338580aae2e8db3e34cf1410cfcf6b36103218b63b7f3a,volkswagen,golf gti,2026-08-08,1976,1983,hatchback
