make,model,generation,length_mm,width_mm,height_mm,wheelbase_mm,source_page,source,fetched
MERCEDES,Eqe,,,1960,,3120,Mercedes-Benz EQE,en.wikipedia,2026-07-24
CITROEN,E-C3 +,,,,,,Citroën C3,en.wikipedia,2026-07-24
SSANGYONG,Tivoli,,4195,1795,1590,2600,KGM Tivoli,en.wikipedia,2026-07-24
SUBARU,Xv,,,,,,Subaru Crosstrek,en.wikipedia,2026-07-24
SUZUKI,Swace,,,,,,List of Suzuki automobiles,en.wikipedia,2026-07-24
SEAT,Mii,,,,,,Volkswagen Up,en.wikipedia,2026-07-24
AUDI,e-tron,,,,,,Audi e-tron,en.wikipedia,2026-07-24
PEUGEOT,206,,3835,1652,1428,2442,Peugeot 206,en.wikipedia,2026-07-24
MG,MG4,,4287,1836,,2705,MG4 EV,en.wikipedia,2026-07-24
Audi,A2,,3826,1673,1553,2405,Audi A2,en.wikipedia,2026-07-24
Fiat,500L,,4140,1780,1660,2612,Fiat 500L,en.wikipedia,2026-07-24
