uid,glb_sha256,make,model,reviewed_at,year_start,year_end,body_style,trim
01499004a07b46b586637149e9c16b29,c2abcb90aa35ccc72fbd75e867c40a39d9c5b2b901fc02fc61fd0076e04aa1f8,Peugeot,206,2026-07-31,2002,,hatchback,GTI
57fa4f06ba3e4eb09572796a4d76f546,5207aea1220216cd0df94dc8472b881df829e4e3ea4b835743dacc72f207a067,Volkswagen,Golf,2026-07-31,2002,,hatchback,R32
117a4b23752a4659bf6db90522c4b262,40d7b98df7f3415da6240665369a73e13cb47930c0826b4d78b25fb4831e2bed,Nissan,Micra,2026-07-31,2004,,hatchback,1.2
fd2e6813f8224d58b104dfbfc1ab3173,69c43f72d03bb0346d55bc26442edb33834d8a9e0955bec45eebd519fa34ef63,Audi,A4,2026-07-31,2005,,saloon,3.2 FSI quattro
a6fd998a789c473da6c5736ad62bae8f,061c9be772702fab9a6f130befd44e41b72de0506078eff278e305b4d1e736a2,Ford,Focus,2026-07-31,2006,,,ST
5f56074036414cdcb5f1f851b1222a61,fcb397900fe3c622c6b602ce9b773cd1f5e18546f8896274f983ab753e556395,Ford,Fiesta,2026-07-31,2009,,hatchback,Zetec S
e5ac89b1a35f46ac89874282e780fb60,4fdd08d772c2f61586716655c12b3e6a565f228c8f9e51ed446fd4da8dd186ab,Ford,Focus,2026-07-31,2009,,hatchback,RS
3454824aab8545578f6a155d64dea273,5072ea8d79d04e358e80115688878c7786f5444da283217a2c7175cbfcc2f2cf,Land Rover,Range Rover Evoque,2026-07-31,2011,,suv,
3b804d736e4641388e86115fe3c439d8,b32472ca41855f740817bab0c91e9a1b5552d7439f64e69971b341fe8f854a07,Ford,Focus,2026-07-31,2013,,hatchback,ST
71746440f98d48ca9ea41ceeaa3504c7,6890bdac9f523ef04f2771b07c86a40df5b409f0ef99c7a3851b793779af766b,BMW,3 Series,2026-07-31,2014,,estate,
6ceaeec6654848a48fdabc44de53fddc,c26fecfe0376a3077968d4238a09dc547829df1889c84b188c02e39cd4abda78,Ford,Mustang,2026-07-31,2015,,coupe,RTR
423afaa1c6664859832d4a5458d90b52,74c493d04035a60b4da6631954e25c32527ce81484a18c698fac9e7cd92d79a5,Honda,Civic,2026-07-31,2015,,hatchback,Type R
9c9cbbf7d50f4bd49eb0bfe3e9f220a6,4b9ce1024ae80a25572c8dc6a261e40420bb2474a6e759ccc95944aaf7f5775a,BMW,X3,2026-07-31,2018,,suv,M
850fb32f984c4630969840fc61f44902,9491cdd5afe7e152cbdab2f93c65b95058ccea5b8f5a072e7c7a88d687d263f0,BMW,X5,2026-07-31,2019,,suv,xDrive30d
747287e4d7a448948ae7a9ca873f2b4f,2e53e9738cdebad4affa2ef80d40a2efe0d677fe9483fab11e872a4100fd2d95,Skoda,Octavia,2026-07-31,2019,,saloon,TSI 280
4ca3a2247af44e51919074565ed93486,d01c63c02ee3c883120b5e932d43375f11e3b3fecae926f7eb948ce3881fe760,BMW,X1,2026-07-31,2020,,suv,xDrive18d
15b425f889c74b53922b7559677cdc06,011880bbcfe10922fac6888eddacacfa1daec200178c977b3d6beb0e6c8802c6,Porsche,718 Cayman,2026-07-31,2020,,coupe,GT4
351986ebc2f24d4a820ff337a2b5c77e,0ac006b44237fc58d4b8cdeca1e2c19932bd7725f722804d9767f69075d2ecae,Skoda,Kamiq,2026-07-31,2020,,suv,GT
f51ac857e1f3468db3a81d88fe2f8406,d1038d106140a732677b006368dd313d8d05c3946079ef917914b2b1d89ead41,Skoda,Kodiaq,2026-07-31,2020,,suv,GT
fe01d18b69fc415284e4593dcd2855c6,8433af40cd7b2c146d56eae98ee4f0cc72bfe03a1c218cb079752fa69e69e6f9,Volkswagen,Golf,2026-07-31,2020,,hatchback,GTI
6465b6ee36e24233b5b269b99471f8ef,fdfb071dd50d4abf4426bf15c076fa703e8dad28b4dd014bb82511c5517fbb74,BMW,3 Series,2026-07-31,2021,,saloon,325Li
98c3a8f248b44670834a37761afbd12c,1042e9cf462fb35e8e327285e64f56d588d02fa690214d34ec895465b85b7f86,Ford,Mustang Mach-E,2026-07-31,2021,,suv,GT
97d5cd2cde504393b7e19b69b9cadff4,3dd9ce2e919de5eac36b12d9415be430d21e6b9a275e33e636f2c41b1afa08a2,Volkswagen,Golf,2026-07-31,2021,,hatchback,GTI
7e0130019e1b4feea72f2daa2c0cfd78,40dead60cfa16b37b1b5691cfdd397e2527eca252c9e04f49b0dcd19f4e47215,Volkswagen,Polo,2026-07-31,2021,,hatchback,Plus
7e3ef2b4aa2a424eb0f0b05607a99bb3,9f2e12266760bd853f4ca869799774faf03aee0f86d35d886e427293541f026f,Hyundai,Elantra,2026-07-31,2022,,saloon,N
