no,file,uid,title,make,model,year,trim,license,creator,source_url,size_mb,file_type
28,4ba1b1b0eb844e318cc708ada1f2f51f__2024_Hyundai_Elantra_N.glb,4ba1b1b0eb844e318cc708ada1f2f51f,2024 Hyundai Elantra N,Hyundai,Elantra,2024,,CC Attribution-NonCommercial,ddiaz-design,https://sketchfab.com/3d-models/none-4ba1b1b0eb844e318cc708ada1f2f51f,15.4,glb
29,4f7c7318a29d4e16a6047c2d58bba28d__Peugeot_3008.glb,4f7c7318a29d4e16a6047c2d58bba28d,Peugeot 3008,Peugeot,308,,,CC Attribution-NonCommercial,OneSteven,https://sketchfab.com/3d-models/none-4f7c7318a29d4e16a6047c2d58bba28d,6.0,glb
30,53c739ff5512413e8d6c373c65b95047__2021_Mercedes-Benz_S-Class_Maybach.glb,53c739ff5512413e8d6c373c65b95047,2021 Mercedes-Benz S-Class Maybach,Mercedes,C Class,2021,,CC Attribution-NonCommercial,ddiaz-design,https://sketchfab.com/3d-models/none-53c739ff5512413e8d6c373c65b95047,18.1,glb
31,562bf516e1494df38d8f222504dc798b__Gerald_R_Ford_aircraft_Carrier.glb,562bf516e1494df38d8f222504dc798b,Gerald R Ford aircraft Carrier,Ford,Explorer,,,CC Attribution,waelXcm,https://sketchfab.com/3d-models/none-562bf516e1494df38d8f222504dc798b,24.9,glb
32,56c780a9e82b4c739517a13b98a8e77a__Mitsubishi_Starion_GSR-VR.glb,56c780a9e82b4c739517a13b98a8e77a,Mitsubishi Starion GSR-VR,Mitsubishi,,,,CC Attribution,dsm350,https://sketchfab.com/3d-models/none-56c780a9e82b4c739517a13b98a8e77a,3.9,glb
33,5c22c249418943fa866cc64de106ea2f__2001__BMW_M3_GTR_E46.glb,5c22c249418943fa866cc64de106ea2f,2001  BMW M3 GTR E46,BMW,5 Series,2001,,CC Attribution,sohyalebret,https://sketchfab.com/3d-models/none-5c22c249418943fa866cc64de106ea2f,6.1,glb
34,5ddd3b440cf0496782948d765b8ef0c4__2002_Mercedes-Benz_E320_W210_4Matic_Sedan.glb,5ddd3b440cf0496782948d765b8ef0c4,2002 Mercedes-Benz E320 W210 4Matic Sedan,Mercedes,,2002,,CC Attribution-NonCommercial-ShareAlike,ddiaz-design,https://sketchfab.com/3d-models/none-5ddd3b440cf0496782948d765b8ef0c4,6.8,glb
35,60b2b5e9f5ce45cbb41832793d0e0e68__2002_Mazda_RX-7_Spirit_R_Type_A_FD.glb,60b2b5e9f5ce45cbb41832793d0e0e68,2002 Mazda RX-7 Spirit R Type A FD,Mazda,3,2002,,CC Attribution-NonCommercial-ShareAlike,ddiaz-design,https://sketchfab.com/3d-models/none-60b2b5e9f5ce45cbb41832793d0e0e68,5.8,glb
36,61c922248b59447892ce34ba0fc290f3__2015_Mercedes-Benz_G-Class_G_63_AMG.glb,61c922248b59447892ce34ba0fc290f3,2015 Mercedes-Benz G-Class G 63 AMG,Mercedes,A Class,2015,AMG,CC Attribution-NonCommercial,ddiaz-design,https://sketchfab.com/3d-models/none-61c922248b59447892ce34ba0fc290f3,8.0,glb
37,64db1862be754722bbf4f23695bf06a5__2020_Mercedes-Benz_G-Class_AMG_G_63.glb,64db1862be754722bbf4f23695bf06a5,2020 Mercedes-Benz G-Class AMG G 63,Mercedes,A Class,2020,AMG,CC Attribution-NonCommercial,ddiaz-design,https://sketchfab.com/3d-models/none-64db1862be754722bbf4f23695bf06a5,13.3,glb
38,65f8f21ef0824e62b9fe36d17ebd8b99__Volvo_PV654_Sedan_Free_v2.glb,65f8f21ef0824e62b9fe36d17ebd8b99,Volvo PV654 Sedan Free v2,Volvo,,,,CC Attribution,robinmikart,https://sketchfab.com/3d-models/none-65f8f21ef0824e62b9fe36d17ebd8b99,4.4,glb
39,6a0e311f8c404fbaad783ed587014c1d__2005_Nismo_Nissan_Skyline_R34_GTR_Z_Tune.glb,6a0e311f8c404fbaad783ed587014c1d,2005 Nismo Nissan Skyline R34 GTR Z Tune,Nissan,,2005,,CC Attribution-NonCommercial-ShareAlike,ddiaz-design,https://sketchfab.com/3d-models/none-6a0e311f8c404fbaad783ed587014c1d,22.0,glb
40,6d67d12a2abe4e119842f65e46fa2f67__BMW_M3_E30.glb,6d67d12a2abe4e119842f65e46fa2f67,BMW M3 E30,BMW,3 Series,,,CC Attribution,temp0.crazy,https://sketchfab.com/3d-models/none-6d67d12a2abe4e119842f65e46fa2f67,20.8,glb
41,723f3868359b4caa90ec639d27ccf06d__Ford_Mustang_John_Bowe_1969__wwwvecarzcom.glb,723f3868359b4caa90ec639d27ccf06d,Ford Mustang John Bowe 1969  wwwvecarzcom,Ford,,,,CC Attribution,heynic,https://sketchfab.com/3d-models/none-723f3868359b4caa90ec639d27ccf06d,31.9,glb
42,74cc740ae7a84224949427d60c3900cb__Mercedes-Benz_W201.glb,74cc740ae7a84224949427d60c3900cb,Mercedes-Benz W201,Mercedes,,,,CC Attribution,tnikita,https://sketchfab.com/3d-models/none-74cc740ae7a84224949427d60c3900cb,1.2,glb
43,7674a3bd168a451daf73fc0a33d39589__2015_Hyundai_Tucson.glb,7674a3bd168a451daf73fc0a33d39589,2015 Hyundai Tucson,Hyundai,Tucson,2015,,CC Attribution,razor24,https://sketchfab.com/3d-models/none-7674a3bd168a451daf73fc0a33d39589,1.2,glb
44,7805392209c44fffa6b4decda5510e69__Volkswagen_Jetta_2_1986_Highpoly.glb,7805392209c44fffa6b4decda5510e69,Volkswagen Jetta 2 1986 Highpoly,Volkswagen,Golf,1986,,CC Attribution,panmax,https://sketchfab.com/3d-models/none-7805392209c44fffa6b4decda5510e69,104.9,glb
